iter	Logloss
134	0.1367279745
135	0.1351097853
136	0.134111772
137	0.1334086782
138	0.1326803576
139	0.1311155298
140	0.1299026385
141	0.1285724376
142	0.1270989035
143	0.1262761722
144	0.1246972946
145	0.1234903551
146	0.1220221343
147	0.1212422662
148	0.1200516133
149	0.1193339911
150	0.118430825
151	0.1172927549
152	0.1162213781
153	0.1153334167
154	0.1138084598
155	0.1129377126
156	0.1121655624
157	0.1109975616
158	0.1103942382
159	0.1096756402
160	0.1087482036
161	0.1078192254
162	0.1072922312
163	0.1062620874
164	0.1055388892
165	0.1046133359
166	0.1036327911
167	0.1025989392
168	0.101477953
169	0.1005990517
170	0.1003647676
171	0.09896974517
172	0.09824095043
173	0.0966458512
174	0.09554107096
175	0.09444380317
176	0.09313385713
177	0.09176732304
178	0.09108274629
179	0.08974388788
180	0.08842238835
181	0.08801222176
182	0.08761713868
183	0.0868249676
184	0.08559722488
185	0.0843847557
186	0.0834320476
187	0.08212276502
188	0.08171309453
189	0.08111274657
190	0.0804354537
191	0.07985585525
192	0.07927093759
193	0.07881996764
194	0.07779709987
195	0.076946971
196	0.07616881978
197	0.07530654195
198	0.07473746635
199	0.07400841278
200	0.07343093201
201	0.07266005785
202	0.0718405014
203	0.07099587035
204	0.07032042187
205	0.06943974412
206	0.06867477028
207	0.06783584111
208	0.06715023351
209	0.06651952615
210	0.06581249758
211	0.06525336455
212	0.06445171584
213	0.06404878093
214	0.06331148965
215	0.06253764459
216	0.06205600686
217	0.06150219548
218	0.06120346268
219	0.06059167264
220	0.06011370395
221	0.05950153519
222	0.05918382832
223	0.05878695526
224	0.0581267727
225	0.05774107973
226	0.05723222022
227	0.05673568912
228	0.05626044408
229	0.05564732429
230	0.05521576595
231	0.05451789383
232	0.05398379934
233	0.05342225642
234	0.05299707707
235	0.0526506264
236	0.05223854387
237	0.05166463255
238	0.05122371577
239	0.05071249336
240	0.05025446361
241	0.04981798558
242	0.04948189469
243	0.04903524147
244	0.04866383576
245	0.04811974971
246	0.04785334356
247	0.04758601956
248	0.04731623646
249	0.04680275579
250	0.04633338039
251	0.04606135916
252	0.04539135415
253	0.04507030457
254	0.04472600877
255	0.04447009803
256	0.04405920992
257	0.04393600656
258	0.04359408759
259	0.04315774639
260	0.04265852075
261	0.04243655513
262	0.04208657031
263	0.04179938379
264	0.04125086504
265	0.04106048018
266	0.04070457606
267	0.04035689796
268	0.0399927063
269	0.03974661322
270	0.03949905805
271	0.03917307326
272	0.03896954171
273	0.03852862653
274	0.03831668765
275	0.03795638682
276	0.03747865486
277	0.03708724087
278	0.0366870363
279	0.03641186445
280	0.03613384265
281	0.03584675794
282	0.03563980394
283	0.03530667719
284	0.0350128186
285	0.0348397492
286	0.0346203758
287	0.03443605402
288	0.03421305747
289	0.0339731902
290	0.03376198157
291	0.03353296597
292	0.03328178465
293	0.03294851882
294	0.03280736934
295	0.03254354932
296	0.03228802405
297	0.03197256352
298	0.03167079623
299	0.03133921753
300	0.03117256679
301	0.03104421489
302	0.03082924149
303	0.03064405278
304	0.0305454409
305	0.0303321222
306	0.03011501017
307	0.02989960826
308	0.02984116246
309	0.0297417808
310	0.02960438951
311	0.02942977856
312	0.02919794055
313	0.02902040386
314	0.02875599478
315	0.02858048997
316	0.02841182846
317	0.02831473654
318	0.02814059894
319	0.02793907919
320	0.02771430758
321	0.02757260612
322	0.02740623096
323	0.02710091812
324	0.02702369555
325	0.02684630948
326	0.02673946311
327	0.02662580467
328	0.02649440628
329	0.02641072772
330	0.02613099698
331	0.0259515756
332	0.02583374602
333	0.02572005562
334	0.02557313014
335	0.02540578615
336	0.02524756507
337	0.02513778772
338	0.02506542521
339	0.02483666323
340	0.02466129807
341	0.02451431248
342	0.02432797846
343	0.02411991059
344	0.02396446853
345	0.02384595878
346	0.02369140554
347	0.02357221821
348	0.02343368739
349	0.02333576536
350	0.02325704319
351	0.0231413338
352	0.0229583599
353	0.02275697387
354	0.02267318604
355	0.02257422635
356	0.02249572762
357	0.02238641208
358	0.02224821695
359	0.02211562259
360	0.02201798221
361	0.02190958033
362	0.02177138889
363	0.02164857667
364	0.02156285982
365	0.02139490981
366	0.02128368244
367	0.02118405436
368	0.02111071594
369	0.02103344543
370	0.02100757293
371	0.02093303603
372	0.02083014973
373	0.02068546934
374	0.02062141778
375	0.02056724739
376	0.02043523299
377	0.02036219849
378	0.02026370573
379	0.02011471847
380	0.01995980217
381	0.01988124593
382	0.01976410023
383	0.01967319034
384	0.0194707799
385	0.01932424019
386	0.01920288346
387	0.01915004273
388	0.01904472958
389	0.01900651157
390	0.01889724261
391	0.01887599932
392	0.01877742918
393	0.01866613456
394	0.0185714376
395	0.01843401008
396	0.01836751111
397	0.01823600701
398	0.01816378236
399	0.01805943062
